Sequencing_Well,State,Subanalysis,Legume.subfamily,Rosaceae.subfamily,Family,Tribe,Taxon in Tree,scientificName_Voucher,scientificNameAuthorship,Provider.acronym,Provider.identifier,UUID
FMN_P004_WF01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia integrifolia,Begonia integrifolia,Dalzell,CAS,,455eef38-b39c-4a80-a1c1-d052affa1f12
FMN_P040_WH05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia iridescens,Begonia iridescens,Dunn,NY,3476633,a5098833-eb04-4d6d-a7a9-89dbdf4056c8
FMN_P051_WB03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia isopterocarpa,Begonia isopterocarpa,Irmsch.,NY,453990,2c10d937-d0ab-437f-9c08-939a02970a1d
FMN_P050_WG03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia itatinensis,Begonia itatinensis,Irmsch. ex Brade,NY,777080,2c0ef0fd-2518-40ac-acc2-68c4c0ccfe4f
FMN_P050_WB07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia jenmanii,Begonia jenmanii,Tutin,NY,3379962,2c002869-f96f-473a-9470-bd6a6376f801
FMN_P040_WH04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia josephi,Begonia josephi,A.DC.,NY,2652741,a508632d-154b-4073-a238-1174df69d2dd
FMN_P052_WH12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia juntasensis,Begonia juntasensis,Kuntze,NY,3379989,2bfdda4e-84ce-468e-b482-5f76816158ae
FMN_P007_WD06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia kalbreyeri,Begonia kalbreyeri,(Oliv.) L.B.Sm. & B.G.Schub.,CAS,,4401f6da-f7a8-4aa4-86d8-42d9e6749985
FMN_P037_WF10,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia klemmei,Begonia klemmei,Merr.,NY,3476660,a84d6fb1-2b31-4493-a07d-b2573e5171c5
FMN_P039_WE05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia koordersii,Begonia koordersii,Warb. ex L.B.Sm. & Wassh.,NY,3476628,a8432896-a9d5-4472-b5f8-99ba5c14049f
FMN_P004_WF05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia labordei,Begonia labordei,H.Lv.,CAS,120815,454589f3-f77d-404a-90a6-fd453c904057
FMN_P038_WH09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia laminariae,Begonia laminariae,Irmsch.,NY,3476642,a55f2e19-cc91-447c-8dc4-6d10336d83af
FMN_P050_WF11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia leathermaniae,Begonia leathermaniae,O'Reilly & Kareg.,NY,3379988,2bf9a9a8-ea63-4402-891c-43bca24ea579
FMN_P007_WC11,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia leptostyla,Begonia leptostyla,Irmsch.,CAS,,43e43bd3-5ec9-4ecc-a575-e0685aa1c828
FMN_P069_WE05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia lindleyana,Begonia lindleyana,Walp.,NY,194993,2b578a07-6a54-4de7-8f5f-c69d5ca8b108
FMN_P050_WC02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia lomensis,Begonia lomensis,Britton & Wilson,NY,1445236,2cf905ef-455c-4740-8afd-673681952853
FMN_P004_WF07,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia longifolia,Begonia longifolia,Blume,CAS,120812,453e6e12-2d3a-4d39-83c0-7f02a4cd7983
FMN_P050_WE09,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia ludicra,Begonia ludicra,A.DC.,NY,3379297,2e518124-3fd2-4911-98be-c7a17a620ec5
FMN_P050_WD04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia ludwigii,Begonia ludwigii,Irmsch.,NY,3379300,2e6ed817-0aa1-4a2d-bde3-a587d801b349
FMN_P004_WC01,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia lukuana,Begonia lukuana,Y.C.Liu & C.H.Ou,CAS,,464b69a1-b7c8-4ff3-81be-e6c283624dd4
FMN_P005_WH02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia luxurians,Begonia luxurians,Scheidw.,CAS,,420a44d5-490d-453d-becc-9965488fea5c
FMN_P004_WF08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia maculata,Begonia maculata,Raddi,CAS,549495,45344407-dcc3-4b19-ad3a-da7643b77735
FMN_P034_WB03,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia mannii,Begonia mannii,Hook.f.,NY,3476616,2c4573ad-86f4-44bd-9132-95dd7e9b692c
FMN_P004_WB12,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia martabanica,Begonia martabanica,A.DC.,CAS,,4643c6b1-45f1-4bfe-b8c3-e2f41b37dc7e
FMN_P039_WA06,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia maurandiae,Begonia maurandiae,A.DC.,NY,3379976,2c4bd817-8cf2-4bdf-85db-9a51b4cefe5f
FMN_P041_WA04,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia maynensis,Begonia maynensis,A.DC.,NY,3379981,2a1cce52-26e1-4e46-a79b-b2bce31c11f7
FMN_P041_WA02,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia membranacea,Begonia membranacea,A.DC.,NY,2796283,2a273e79-dbc4-45be-ac8b-acefd4f3637d
FMN_P004_WB08,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia merrittii,Begonia merrittii,Merr.,CAS,,45f53d34-6c97-472b-9d7e-51be0aed500f
FMN_P039_WA05,Absent,Cucurbitales,NA,NA,Begoniaceae,NA,Begonia micranthera,Begonia micranthera,Griseb.,NY,3379957,2c4a1f76-1164-48d8-8e9d-ae0cd80fdb53
