"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",100,"l2","1|1|2_1|1|1",-3.056903e+00, 1.763777e+01,-7.507688e-01, 0.020486394, 0.317009768,-0.003561520,-3.0773896606,17.1633796956,-0.7261774468
"all",250,"l2","1|1|2_1|1|1",-1.856420e+00, 1.075302e+01,-3.597004e-01, 0.020486394, 0.317009768,-0.003561520,-1.8769065212,10.2849195638,-0.4083235652
"all",500,"l2","1|1|2_1|1|1",-8.046157e-01, 5.341351e+00,-1.519796e-01, 0.020486394, 0.317009768,-0.003561520,-0.8251020522, 4.8929737087,-0.1944817318
"all",100,"er","1|1|2_1|2|2",-2.471957e+00, 1.658718e+01,-5.280058e-01,-0.152014608, 0.313900758,-0.128371530,-2.3199421580,16.2245410325,-0.4028493850
"all",250,"er","1|1|2_1|2|2",-1.539079e+00, 1.052416e+01,-2.748593e-01,-0.152014608, 0.313900758,-0.128371530,-1.3870641193, 9.8250681552,-0.0208925155
"all",500,"er","1|1|2_1|2|2",-8.673036e-01, 5.812787e+00,-1.638241e-01,-0.152014608, 0.313900758,-0.128371530,-0.7152889993, 5.2562148396,-0.0132190973
"all",100,"l0","1|1|2_1|2|2",-2.435189e+00, 1.595877e+01,-5.501690e-01,-0.152014608, 0.313900758,-0.128371530,-2.2831741679,15.6363172237,-0.4219479677
"all",250,"l0","1|1|2_1|2|2",-1.434828e+00, 1.007232e+01,-2.128804e-01,-0.152014608, 0.313900758,-0.128371530,-1.2828138916, 9.3392962900,-0.0136327022
"all",500,"l0","1|1|2_1|2|2",-8.936601e-01, 5.928647e+00,-1.838174e-01,-0.152014608, 0.313900758,-0.128371530,-0.7416455152, 5.3875703295,-0.0293906128
"all",100,"l1","1|1|2_1|2|2",-3.275096e+00, 1.841783e+01,-9.312059e-01,-0.152014608, 0.313900758,-0.128371530,-3.1230810205,17.8992242496,-0.8016269327
"all",250,"l1","1|1|2_1|2|2",-1.741195e+00, 1.165353e+01,-3.365704e-01,-0.152014608, 0.313900758,-0.128371530,-1.5891806032,10.9066024663,-0.1357912521
"all",500,"l1","1|1|2_1|2|2",-9.872617e-01, 6.308917e+00,-2.134842e-01,-0.152014608, 0.313900758,-0.128371530,-0.8352470962, 5.7402147317,-0.0541505914
"all",100,"l2","1|1|2_1|2|2",-3.605817e+00, 1.794177e+01,-1.200943e+00,-0.152014608, 0.313900758,-0.128371530,-3.4538025014,17.5485819588,-1.0062272686
"all",250,"l2","1|1|2_1|2|2",-1.993554e+00, 1.150066e+01,-4.549510e-01,-0.152014608, 0.313900758,-0.128371530,-1.8415397804,10.8314221611,-0.3256568146
"all",500,"l2","1|1|2_1|2|2",-1.171169e+00, 6.649034e+00,-3.101831e-01,-0.152014608, 0.313900758,-0.128371530,-1.0191546794, 6.1220063291,-0.1796052514
"all",100,"er","1|1|2_2|1|2",-2.256015e+00, 1.653356e+01,-4.035230e-01,-0.088401489, 0.319211279,-0.074161313,-2.1676133364,16.1867898295,-0.2500194646
"all",250,"er","1|1|2_2|1|2",-1.387819e+00, 1.027472e+01,-1.367469e-01,-0.088401489, 0.319211279,-0.074161313,-1.2994175492, 9.5083113969,-0.0573723535
"all",500,"er","1|1|2_2|1|2",-7.442398e-01, 5.551986e+00,-1.086027e-01,-0.088401489, 0.319211279,-0.074161313,-0.6558382748, 4.9392646617,-0.0234615078
"all",100,"l0","1|1|2_2|1|2",-2.218008e+00, 1.552620e+01,-4.769977e-01,-0.088401489, 0.319211279,-0.074161313,-2.1296068115,15.0941331848,-0.2899407580
