"include","ntips","type","model","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"<10",250,"l0","1Char",  1.3817086,  1.4705137,  1.0254828,1.2419778,0.7545528,1.0708910, 1.397309e-01, 5.089671e-01, 2.455042e-02
"<10",500,"l0","1Char",  1.3194156,  1.1032759,  1.0284898,1.2503629,0.7897019,1.0720461, 6.905273e-02, 1.722418e-01, 1.621871e-02
"<10",100,"l1","1Char",  1.0762832,  0.7585510,  0.8680914,1.2503629,0.7897019,1.0720461,-1.740796e-01, 5.624555e-01,-1.308632e-01
"<10",250,"l1","1Char",  1.1962911,  0.8802091,  0.9496607,1.2503629,0.7897019,1.0720461,-5.407179e-02, 2.659997e-01,-5.186913e-02
"<10",500,"l1","1Char",  1.2318620,  0.8326158,  0.9801128,1.2503629,0.7897019,1.0720461,-1.850090e-02, 1.249259e-01,-2.087647e-02
"<10",100,"l2","1Char",  0.8125133,  0.2139810,  0.7603003,1.2503629,0.7897019,1.0720461,-4.378495e-01, 5.822128e-01,-2.556621e-01
"<10",250,"l2","1Char",  0.9675624,  0.2823576,  0.8791517,1.2503629,0.7897019,1.0720461,-2.828005e-01, 3.495924e-01,-1.473077e-01
"<10",500,"l2","1Char",  1.0747814,  0.3738534,  0.9406923,1.2503629,0.7897019,1.0720461,-1.755815e-01, 2.058274e-01,-7.764616e-02
"<10",100,"er","2Char",  1.4568329,  2.7787159,  0.9475634,1.1504318,0.5624184,0.9605537, 3.064011e-01, 2.331701e+00,-2.634620e-02
"<10",250,"er","2Char",  1.3389151,  1.7860142,  0.9628157,1.1611044,0.5876986,0.9643873, 1.778107e-01, 1.255682e+00,-5.310763e-03
"<10",500,"er","2Char",  1.2677361,  1.1054176,  0.9818662,1.1645317,0.5933361,0.9690885, 1.032044e-01, 4.574335e-01, 1.416526e-02
"<10",100,"l0","2Char",  1.4580657,  2.8207678,  0.9416806,1.1509491,0.5684817,0.9605537, 3.071166e-01, 2.390440e+00,-2.796454e-02
"<10",250,"l0","2Char",  1.3393736,  1.7776689,  0.9664017,1.1603132,0.5809198,0.9643873, 1.790604e-01, 1.229161e+00,-3.021558e-03
"<10",500,"l0","2Char",  1.2683014,  1.1049401,  0.9834269,1.1645317,0.5933361,0.9690885, 1.037697e-01, 4.585174e-01, 1.408949e-02
"<10",100,"l1","2Char",  1.0559407,  1.3033846,  0.7455966,1.1673283,0.6135350,0.9690885,-1.113876e-01, 1.122631e+00,-1.890993e-01
"<10",250,"l1","2Char",  1.1673154,  1.1739698,  0.8772325,1.1675705,0.6150885,0.9690885,-2.551589e-04, 8.129722e-01,-6.992239e-02
"<10",500,"l1","2Char",  1.1872580,  0.8935106,  0.9433519,1.1658079,0.6010893,0.9690885, 2.145004e-02, 3.407385e-01,-2.064915e-02
"<10",100,"l2","2Char",  0.6897899,  0.3580171,  0.5896024,1.1677493,0.6150657,0.9693577,-4.779594e-01, 6.166146e-01,-3.805155e-01
"<10",250,"l2","2Char",  0.8639477,  0.4050805,  0.7549222,1.1677493,0.6150657,0.9693577,-3.038016e-01, 4.561912e-01,-2.063525e-01
"<10",500,"l2","2Char",  0.9881693,  0.4299422,  0.8584247,1.1677493,0.6150657,0.9693577,-1.795800e-01, 2.574374e-01,-1.134347e-01
"<10",100,"er","3Char",  1.4062266,  3.7536133,  0.6763043,1.1198459,0.4111134,0.9896842, 2.863807e-01, 3.594861e+00,-2.759257e-01
"<10",250,"er","3Char",  1.3415853,  2.4146883,  0.9023366,1.1295039,0.4230337,0.9926583, 2.120814e-01, 2.079606e+00,-7.597313e-02
"<10",500,"er","3Char",  1.2681879,  1.5415742,  0.9576008,1.1335245,0.4268107,0.9945141, 1.346634e-01, 1.106685e+00,-2.394817e-02
"<10",100,"l0","3Char",  1.4008355,  3.7101559,  0.6735590,1.1207433,0.4148234,0.9898014, 2.800922e-01, 3.567738e+00,-2.802040e-01
"<10",250,"l0","3Char",  1.3449358,  2.4352220,  0.9052099,1.1290726,0.4218514,0.9926583, 2.158632e-01, 2.094489e+00,-7.118627e-02
"<10",500,"l0","3Char",  1.2701641,  1.5477391,  0.9581010,1.1331534,0.4243716,0.9945141, 1.370107e-01, 1.112600e+00,-2.541054e-02
"<10",100,"l1","3Char",  1.1013134,  2.2655509,  0.5593859,1.1359435,0.4377108,0.9948035,-3.463010e-02, 2.193888e+00,-3.672982e-01
"<10",250,"l1","3Char",  1.1868543,  1.7796635,  0.8348124,1.1361009,0.4405449,0.9947393, 5.075340e-02, 1.516809e+00,-1.401529e-01
"<10",500,"l1","3Char",  1.1879032,  1.2537840,  0.9212593,1.1359450,0.4353883,0.9948035, 5.195820e-02, 8.627375e-01,-5.906794e-02
"<10",100,"l2","3Char",  0.6192938,  0.5045825,  0.4065032,1.1373912,0.4424616,0.9948381,-5.180974e-01, 7.363314e-01,-5.131663e-01
"<10",250,"l2","3Char",  0.8015485,  0.5415569,  0.6764700,1.1373912,0.4424616,0.9948381,-3.358428e-01, 6.014702e-01,-3.071696e-01
"<10",500,"l2","3Char",  0.9209911,  0.5238919,  0.7975753,1.1373912,0.4424616,0.9948381,-2.164002e-01, 4.197129e-01,-1.805650e-01
